127.0.0.1 - - [29/Jan/2013:21:43:54 -0300] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:44:14 -0300] "GET /VistasGitHub/ HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:44:15 -0300] "GET /VistasGitHub/jsp/backlog/IngresoPosIt.jsp HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:44:15 -0300] "GET /VistasGitHub/css/formulario.css HTTP/1.1" 200 4155
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:44:15 -0300] "GET /VistasGitHub/css/jsDatePick_ltr.min.css HTTP/1.1" 200 7322
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:44:15 -0300] "GET /VistasGitHub/images/BrandingKanbanL.png HTTP/1.1" 200 7036
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:44:15 -0300] "GET /VistasGitHub/js/jsDatePick.min.1.3.js HTTP/1.1" 200 26661
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:44:15 -0300] "GET /VistasGitHub/jsp/backlog/img/ocean_blue_dayNormal.gif HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:48:27 -0300] "GET /VistasGitHub/jsp/backlog/IngresoPosIt.jsp HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:48:27 -0300] "GET /VistasGitHub/css/formulario.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:48:27 -0300] "GET /VistasGitHub/js/jsDatePick.min.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:48:27 -0300] "GET /VistasGitHub/css/jsDatePick_ltr.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:48:27 -0300] "GET /VistasGitHub/images/BrandingKanbanL.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:48:27 -0300] "GET /VistasGitHub/jsp/backlog/img/ocean_blue_dayNormal.gif HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:48:33 -0300] "GET /VistasGitHub/jsp/backlog/IngresoPosIt.jsp HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:48:33 -0300] "GET /VistasGitHub/css/formulario.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:48:33 -0300] "GET /VistasGitHub/css/jsDatePick_ltr.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:48:33 -0300] "GET /VistasGitHub/images/BrandingKanbanL.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:48:33 -0300] "GET /VistasGitHub/js/jsDatePick.min.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:48:34 -0300] "GET /VistasGitHub/jsp/backlog/img/ocean_blue_dayNormal.gif HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:22 -0300] "GET /VistasGitHub/css/img/boxSideWallPx.gif HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:22 -0300] "GET /VistasGitHub/css/img/yearBackward_normal.gif HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:22 -0300] "GET /VistasGitHub/css/img/boxTopRightCorner.png HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:22 -0300] "GET /VistasGitHub/css/img/closeButton_normal.gif HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:22 -0300] "GET /VistasGitHub/css/img/boxTopPx.gif HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:22 -0300] "GET /VistasGitHub/css/img/boxBottomLeftCorner.png HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:22 -0300] "GET /VistasGitHub/css/img/boxBottomRightCorner.png HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [29/Jan/2013:21:50:22 -0300] "GET /VistasGitHub/css/img/boxTopLeftCorner.png HTTP/1.1" 404 1043
